Fecha,Duracion_Min,Sentimiento_1_10,Estado
2025-12-24 01:09:15,8,2,Alpha
2025-12-24 01:13:28,8,3,Alpha
2025-12-24 01:25:43,8,4,Alpha
2025-12-24 01:35:17,8,5,Alpha
2025-12-28 23:17:53,8,5,Alpha
2025-12-28 23:19:27,8,5,Alpha
2025-12-28 23:27:14,8,6,Alpha
2025-12-28 23:34:53,8,6,Alpha
2025-12-28 23:42:07,8,8,Alpha
2025-12-29 23:31:02,8,2,Alpha
2025-12-29 23:49:31,8,8,Alpha
2025-12-30 00:20:01,8,8,350,Alpha
2025-12-30 00:38:03,8,8,350,Alpha
2025-12-30 00:41:31,8,8,350,Alpha
2025-12-30 21:33:24,8,8,350,Alpha
2025-12-30 21:44:43,8,8,350,Alpha
2025-12-30 21:46:13,8,8,350,Alpha
2025-12-30 21:53:22,8,8,350,Alpha
2025-12-30 22:05:02,8,8,350,Alpha
2025-12-30 22:08:36,8,8,350,Alpha
2025-12-30 22:19:52,8,8,350,Alpha
2025-12-30 22:20:36,8,8,350,Alpha
2025-12-30 22:30:46,8,9,288,Alpha
2025-12-30 22:32:11,8,8,314,Alpha
